country,slope,intercept,r_squared
Afghanistan,0.0006640012059883882,-0.12863184061910304,0.8944099984319495
Albania,0.0005441760227689414,-0.24252617766812684,0.8211499145351906
Algeria,0.0007515420922190911,-0.12995076283401497,0.9056517352947006
Angola,0.0006620749129023414,0.0718060355911948,0.9401252419158577
Antarctica,6.776434625364041e-05,0.01898483130502257,0.8434555671587375
Argentina,0.0003079348007171457,0.07163572107130306,0.9094272243481475
Armenia,0.0005241475456684802,-0.2638508754320375,0.7829596487210584
Australia,0.0005054790397705424,0.06627263620393964,0.9467042684047142
Austria,0.00044602826836094605,-0.14012191741590208,0.8041498776315757
Azerbaijan,0.0004888633676678668,-0.21554917206972035,0.7988146397903676
Bangladesh,0.0003238012673526456,-0.014025491120054467,0.7475443049965844
Belarus,0.00040341854066089963,-0.10470890916308956,0.7256050221299427
Belgium,0.0003070946971386484,-0.11957431780020594,0.7079115374674241
Benin,0.0005694178242789624,0.06775496923007107,0.8955433074180289
Bhutan,0.00055970650313376,-0.08696816283104469,0.9396634214656272
Bolivia,0.0007053387716404405,0.02640138340740794,0.9280276910879638
Bosnia_and_Herz.,0.0005380756927454345,-0.199752745181844,0.7996709552125736
Botswana,0.000754453420244979,0.040216918679902625,0.9189115107950693
Brazil,0.0006383767971712061,0.0332554041426234,0.9275357851339094
Brunei,0.0004489830038584944,0.02578937490307598,0.9257339912853211
Bulgaria,0.0005433684780013977,-0.23023778880336593,0.8095256143727546
Burkina_Faso,0.0006568512473786293,0.07594641602842889,0.8770013155140848
Burundi,0.0005440039170149753,-0.07984616983586357,0.8850219846149697
Cambodia,0.0007351159184780539,0.10343762419296865,0.9262314124859051
Cameroon,0.0005864441961896796,0.04043838995298721,0.9168238227573531
Canada,0.0004833196036567506,0.008971368188073314,0.9012113749567988
Central_African_Rep.,0.0006126212708558469,0.0515972966408107,0.9150113049269097
Chad,0.0007811416516965731,-0.020775997470468655,0.900746758198356
Chile,0.00028712143588413883,0.03671587640011148,0.8943093971095635
China,0.000588662845917579,-0.1414988464203274,0.9008392077928912
Colombia,0.0005570109357995916,-0.01298158633973967,0.8731676193386215
Congo,0.0005323919406881889,0.005988777062121309,0.9076592494180307
Costa_Rica,0.0006072948789092687,0.022277823230690497,0.9046140441634172
Cuba,0.0005588337993635512,-0.036917348610741696,0.9447059352078694
Cyprus,0.000576579668200122,-0.19044985555688665,0.8326601985976447
Czechia,0.00040905600154900765,-0.07931989009604262,0.7809386600717924
C̫te_d'Ivoire,0.0005802854190330631,0.1369744217565293,0.9157090243478797
Dem._Rep._Congo,0.0005700613215785991,-0.011566124024622093,0.9130555871941582
Denmark,0.00024513225642376824,-0.04024253510444192,0.6836379928016818
Djibouti,0.0006662659124854687,0.031847855989865614,0.9363312098053618
Ecuador,0.0005082875801304032,-0.02285486246956503,0.8435525626787942
Egypt,0.0007126021652496189,-0.16651657744807047,0.8867059677919162
Eritrea,0.0008066193333507121,0.0011325462605789038,0.93293878035269
Estonia,0.0003551289860996045,-0.07243925763440989,0.7096581937321953
Ethiopia,0.0006257697784324574,0.08481822867258171,0.9346216783558245
Fiji,0.00026774515334688625,0.027185132198137063,0.9663263284213869
Finland,0.000273563277115977,-0.04919098604303074,0.6820637185598833
France,0.0004144464243649666,-0.08769537680861633,0.8419325535266139
Gabon,0.0005087016506518668,0.029425520417966644,0.9146532688836263
Georgia,0.0005254097586189154,-0.2563140789924049,0.772189325789061
Germany,0.00033903777894089306,-0.09238589587314877,0.7568282356869136
Ghana,0.0005740696335249321,0.06192081891209689,0.9003735522983293
Greece,0.0005204463187239148,-0.20422132346790106,0.8394131457830754
Greenland,0.00014606559392922976,0.02680571614920682,0.6197552020932284
Guatemala,0.0007322990294182452,0.0681809713980639,0.9449847974380101
Guinea,0.0006541336848423847,0.16783064417965443,0.9245714575850472
Guinea-Bissau,0.0006090358858383887,0.09029071152432533,0.9145999215399575
Guyana,0.000590389541878858,-0.12239026831153499,0.8839947614458261
Honduras,0.00076853446505824,0.18382558181923536,0.8981548478583115
Hungary,0.0005540635933429549,-0.1295598840170209,0.8413159151762425
Iceland,0.00015830539393018724,0.050205635081285616,0.2913591973900548
India,0.00043643087969353847,-0.07449176146975856,0.8439547853788577
Indonesia,0.000488306909341861,0.06307710915335096,0.9612822082781927
Iran,0.0006847822454993856,-0.1041303124491263,0.9062266605182461
Iraq,0.0007261104483213748,-0.13269645698986632,0.9038008940086634
Ireland,8.827170343662211e-05,0.006962411474010458,0.31787282436814823
Israel,0.0006505644538142325,-0.1858206842973007,0.864770722998387
Italy,0.0005325694581060502,-0.09436487262565241,0.866894592318505
Jamaica,0.0005394852522454288,-0.04549281801804639,0.93177576152543
Japan,0.0005656708158259708,-0.13075663107858182,0.8633757199834313
Jordan,0.0007438484534584804,-0.1374876129672481,0.8869298077446035
Kazakhstan,0.0005571228676998393,-0.13064761608167108,0.8067114045465648
Kenya,0.0005515399977933618,0.08608387548512286,0.9362490846995375
Kuwait,0.0007657442357548426,-0.0670132335798338,0.9242788887938029
Kyrgyzstan,0.0006317124313145977,-0.14342227217906334,0.8610521888961356
Laos,0.0005438025627342477,-0.03611467836037219,0.8067325144676867
Latvia,0.0003285322271906542,-0.0600382195096868,0.6996353008743335
Lesotho,0.0004885350009783243,0.023188498299656524,0.8393580902473019
Liberia,0.0006040829281092179,0.07339989851120632,0.9413633937561687
Libya,0.0007076694833331421,-0.15125479780479245,0.8874619290509687
Lithuania,0.00034895895095313814,-0.07134435624606289,0.698336765600313
Madagascar,0.0004980808807978792,0.09956387024489077,0.9391706058603733
Malawi,0.0007423015832914006,0.33336906694000146,0.9220110951196855
Malaysia,0.0004746622961834305,0.04809729743165847,0.941691126680003
Mali,0.0007779224163659514,0.00927601623909402,0.9036540674116067
Mauritania,0.000792094997682488,-0.028108214055046488,0.9191077118105915
Mexico,0.0005564355016277505,-0.07089725236590261,0.9376374658985954
Moldova,0.0004870511225503836,-0.2074215856053241,0.7485805700466308
Mongolia,0.0005975794116880245,-0.08581108590179809,0.8687937983266424
Montenegro,0.000546254179079416,-0.24784715875560104,0.7971503232340766
Morocco,0.0006216377774380796,-0.09290666556527682,0.9151014601922197
Mozambique,0.0006037449500093204,0.1079204064453465,0.9411040266893665
Myanmar,0.00044848169966095507,0.09378207842724262,0.9133289858631674
Namibia,0.0007116048675086542,0.057944099411219474,0.9249011244020897
Nepal,0.0004769986693377342,0.1349910899651764,0.8970390776345859
Netherlands,0.00021549291217303358,-0.06438889558573793,0.6335253021682326
New_Zealand,0.0002844190731257169,0.11424894571644378,0.8691578076736546
Nicaragua,0.0006404263513588697,-0.043102173644669284,0.9301737258639704
Niger,0.0008245414235245376,-0.02275434965308576,0.8921554403150785
Nigeria,0.0006459014599656364,0.0882816635961875,0.9088458563669355
North_Korea,0.0006007923520599874,-0.11630892442031293,0.8356331264653225
Norway,0.00017811843819873254,0.010854110109388054,0.7203954743356504
Oman,0.0007292133820371772,0.005940896126024775,0.940741112474386
Pakistan,0.0006483910076070955,-0.09928121124750533,0.9216326321925067
Panama,0.000533767187619886,-0.007634188737525749,0.8671169736346
Papua_New_Guinea,0.0004391862957860354,0.024567384169149276,0.9486966991868068
Paraguay,0.0006331766325560896,0.16093110259248378,0.9370870634985966
Peru,0.0005688942070197888,-0.0454261024240048,0.8658010349207739
Philippines,0.0004915795208300743,0.051242685434262136,0.9516876725244549
Poland,0.00036169634122715255,-0.08548282762292919,0.7359625446224338
Portugal,0.000500167179610084,-0.070223814151813,0.8505365213279749
Romania,0.0005362276410104973,-0.20456892691979145,0.7954763283698512
Russia,0.00044381005979965426,0.07602073606335735,0.8946520848001418
S._Sudan,0.0006366418140665618,0.07906109267863681,0.917617139864161
Saudi_Arabia,0.0008495087044534983,-0.04895410539947376,0.93317411672072
Senegal,0.0006956113371341481,0.10078092197709498,0.9105165493777118
Serbia,0.000532588905515034,-0.23881391577070826,0.7907583947851751
Sierra_Leone,0.000701525143124063,0.14412306724109736,0.9507504660289726
Slovakia,0.000526590023053422,-0.08096627746685425,0.8498172254901103
Slovenia,0.000479862591219926,-0.1596387964528811,0.8100206913813788
Somalia,0.0005318128394471559,0.05695060316772482,0.9410236721303037
Somaliland,0.0006368238809787268,0.039931209997987716,0.9273647015123104
South_Africa,0.0005307161815840368,0.11883312067617247,0.9184972927245194
South_Korea,0.0005442657985090852,-0.19217773097216106,0.8234250164815812
Spain,0.0005057844602582012,-0.08553428424031906,0.872636084683464
Sri_Lanka,0.0003701307023353781,0.08992151463585052,0.8885784512225957
Sudan,0.0008374624817312998,-0.03667339194944397,0.9269660712371277
Suriname,0.0006155448851760003,-0.1490508276318281,0.8775334295345577
Sweden,0.00022648455245969192,-0.03535142389355872,0.691322177566474
Switzerland,0.00043830976482786386,-0.17933249521697103,0.8090066558303466
Syria,0.0006581764000076558,-0.15097554598270257,0.8822713097868785
Tajikistan,0.0006475441900061268,-0.14382488936173232,0.8751759668358287
Tanzania,0.000542395719084215,0.10522812449056895,0.932793669285052
Thailand,0.000575423231246865,0.09723878719803736,0.8978793512423079
Tunisia,0.0005873726422839877,-0.16780784287713302,0.8962082330311621
Turkey,0.0005650609822239167,-0.2171071326872076,0.8303773795074376
Turkmenistan,0.0005370369783408277,-0.13773265557908165,0.8375064721316339
Uganda,0.0004801374916371023,-0.0011400822938946176,0.8766454079854996
Ukraine,0.00047870473923428884,-0.20193687087132256,0.7393862213339271
United_Arab_Emirates,0.0008352745222619962,-0.024427358236159602,0.9416182315688856
United_Kingdom,0.00012662545348184455,-0.015192047627170274,0.4981312361574073
United_States_of_America,0.0005021233343379256,-0.21852253596144128,0.8500021051140957
Uruguay,0.0002667725997920419,0.06831719522868779,0.7139846224586975
Uzbekistan,0.0005383193767871427,-0.14849115222280518,0.8345235842001749
Venezuela,0.0006682330172010575,-0.02920607621882554,0.9022338948819811
Vietnam,0.0005675230781191224,-0.02183916584729373,0.8726685383999764
W._Sahara,0.00076945152728759,-0.0829736662703977,0.9200348562350265
Yemen,0.0007791994476855828,0.02198614971566759,0.9338912579226354
Zambia,0.0006978652200221125,0.07064329180629758,0.9240770572969005
Zimbabwe,0.0007078567289222757,0.025864868882990555,0.9270228985812465
